source target similarity
EGR3 MXD3 0.00921962088337
STAT3 SAA1 0.962304430738
E2F2 RELA 0.00125064803419
MAZ THRB 0.00989551682354
NHLH1 CEBPB 0.00617788029398
CTNNB1 GLUL 0.256778347696
SOX8 EGR1 0.00362992442271
ETV4 ZNF589 0.00587655656712
E2F1 FANCD2 0.548386634498
ZNF354C REST 0.00309030098185
SP1 CHURC1 0.0139246232246
SMAD5 HBP1 0.00305689678926
MAD1L1 STAT3 0.00253014836981
CTNNB1 SMC3 0.498780543261
EGR2 ASCL1 0.017670689255
NFIX RUNX1 0.0110501861861
SP1 MAZ 0.00694399518093
SPI1 GLI3 0.00887723726847
ETV7 IKZF1 0.00632446825311
HSF1 NHLH1 0.0127709316539
TRIM28 NKX2-5 0.0445241758213
IRF5 BHLHE41 0.00462252449144
NFE2L2 SP1 0.00147611090842
FOXO1 NHLH1 0.0152864346877
DLX5 SPP1 0.114112854916
TFAP4 RBPJ 0.00300633107322
CREB1 TCF3 0.00405355737485
NKX2-5 GLI3 0.00630626991255
EGR2 CEBPD 0.0135377412581
THRB EGR1 0.00425949699418
SOX12 STAT5A 0.00465958302288
IKBKG CTNNB1 0.0015708937823
EGR2 SOX13 0.0265668862355
SATB1 TBX5 0.0232613835796
FOS EBF1 0.00508371697436
MEF2A ELF1 0.00619229893591
TFAP4 REST 0.0058987323259
POU3F3 RELB 0.00448105642898
DLX5 SOX11 0.0147113965029
EBF3 DDIT3 0.0106715933642
GLI3 GABPA 0.00237774500696
HOXD3 IRF2 0.00323625165033
GLI3 E2F1 0.00807026141478
NFIB THRB 0.00789566534553
RELB TP73 0.0218834437456
TBX5 EGR3 0.00546503794004
JUNB HBP1 0.00362934249108
EBF1 HSF1 0.00429421230425
TFRC HIF1A 0.00260048150922
IKZF1 VDR 0.00894946670965
CEBPB SREBF2 0.0048529728194
BRF1 RELB 0.00386301403354
MAZ ZNF350 0.00528825232372
EBF1 ZNF148 0.00194412727275
ASCL1 STAT5A 0.00511025053519
E2F1 TOPBP1 0.161847250908
IRF2 HNF4G 0.0227852034627
ARNTL2 EGR3 0.00430719622303
CTNNB1 ARHGAP26 0.944318915391
DLX2 JUNB 0.00513487502333
ARNTL CEBPD 0.00811479368231
NFE2L2 DEAF1 0.00384973142758
GLI3 NFIB 0.00533434957309
LMO2 STAT5A 0.00522831127754
STAT5A RARA 0.00707364831541
STAT3 HBP1 0.00388177525461
SP1 HOXD3 0.0265541363012
IKZF1 GTF2IRD1 0.00567764968645
SMAD1 E2F3 0.00623446237046
POU3F3 REST 0.00457362944775
ZNF589 ATF1 0.00285932062327
CEBPD DDIT3 0.0106538940968
B2M RELA 0.000912118283316
NHLH1 MXD3 0.00792501399087
POU4F1 SP1 0.000864029068386
HMX1 DLX5 0.0386911052495
SOX11 FOS 0.00549745676614
E2F1 MAZ 0.0048041431463
HSF2 CHURC1 0.00990004386411
ONECUT2 E2F1 0.00531894254845
NFYC GBX2 0.0379291646057
IRF8 RBPJ 0.00269404920825
E2F2 E2F1 0.0211265596786
SREBF2 NPC1 0.172585930281
FOS SOX4 0.024623079717
SMAD7 EBF3 0.0253457125015
DDIT3 EGR3 0.00516009066016
MAZ ATF1 0.00396013216981
E2F2 PATZ1 0.00367172797075
VDR EBF1 0.00546332354451
PAX3 TFCP2L1 0.0147737929055
DDIT3 EGR1 0.00476400360525
ZNF350 MAD1L1 0.00465729126651
HIF1A EGR1 0.00552516950152
HBP1 CDKN2A 0.689504849051
NFE2L3 STAT1 0.00367606727038
TBX5 CREB1 0.00125078579575
MAFB STAT1 0.00323362517376
MEF2A CEBPB 0.00610178418286
E2F1 MCM5 0.200692354103
SMAD1 SPP1 0.114954822723
NFYA E2F3 0.00704955176424
SMAD7 VDR 0.00708394939063
CTNNB1 AIM1 1.35418092669
CEBPD MYBL2 0.0165180756543
SMAD1 IRF1 0.00394485989805
EGR2 ARNTL2 0.0138029043938
E2F1 SOX9 0.00828133956223
ZNF350 ETV4 0.0109625488035
MXD3 IKZF1 0.00637254264363
RFX4 EGR1 0.00369496912433
ETV6 ATF6 0.00384232487777
IRF5 BRF1 0.00565358514742
DEAF1 EGR3 0.00662052844664
NFYC DLX1 0.0220989890207
SOX4 TFAP4 0.00539379843348
EGR1 STAT5A 0.00786052815419
DEAF1 CREM 0.00767042004251
EGR2 ATF1 0.00415143588231
RUNX1 RARA 0.00651182000768
HMX1 IRX5 0.0146561553381
CHI3L1 STAT3 0.00165958345922
CEBPD EGR2 0.00550974562152
NFE2L2 SOX15 0.0119133862361
RARA NFE2L2 0.00254389252388
RFX4 HIF1A 0.00310896465112
RELA EGR3 0.00634546012159
RUNX1 CHURC1 0.0111042710787
JUNB IKZF1 0.00744674407665
FOXO1 GLI3 0.00836643254509
CTNNB1 ITGB1 0.151623436342
JUNB MYCN 0.0152794948014
MEIS2 ARNTL 0.021793817304
IRF1 CEBPB 0.00656089333167
TCF3 IRF5 0.00726872619048
GATA2 HAND2 0.0193658338059
SATB1 EGR3 0.00342572501324
SREBF2 STAT1 0.00480364472225
SOX9 CEBPB 0.00557100463574
JUNB FOS 0.0077718804384
PATZ1 SOX4 0.0249868068005
IRF8 GLI3 0.0076276128202
MEIS2 IRF5 0.00523145997638
CREB1 PTGS2 0.176549786392
TFAP4 NFE2L2 0.00303370798425
JUNB STAT3 0.00315089950778
EGR1 SRF 0.00480446600282
PAX3 TFAP4 0.00537183988843
PRDM1 NR3C1 0.00382305920836
DEAF1 POU2F1 0.007389315135
CREM IKZF1 0.00589843481265
CTNNB1 SERPINA3 2.22706948272
NR3C1 IKZF1 0.00677159544236
NHLH1 TFAP4 0.00709045871033
NHLH1 ATF1 0.00320494331612
ETV4 POU2F1 0.00593581391793
DDIT3 ETV7 0.01402208975
BACH1 HNF4G 0.0220873485454
TFAP4 TP73 0.0247795014824
E2F1 FOXO1 0.00500069489111
RUNX1 CREB1 0.00125955422898
SMAD5 TFAP4 0.00507082143241
MAZ FOXM1 0.0156213189171
SP1 BHLHE41 0.00704059131612
PTTG1 CTNNB1 0.00171682266058
STAT3 CLCN3 0.470077520527
ESRRA EGR3 0.0052792057579
MCM7 E2F2 0.015873197864
CTNNB1 SAA1 1.1022486498
ITGB1 CTNNB1 0.00160495320502
ETV4 EGR1 0.00424384739324
JUNB DDIT3 0.0118884693149
PRDM1 CEBPB 0.00623942019638
STAT3 CREM 0.00812054110481
BRF1 EGR1 0.00359622257123
THRB SOX11 0.015011747529
SOX15 DLX5 0.0433203437222
STAT5A RFX4 0.0132945294411
MYBL2 EGR1 0.00390635491479
SOX12 SPI1 0.0037770606281
ESRRA SPI1 0.0042511954416
PRDM1 NFYA 0.00268268530824
MAD1L1 E2F1 0.00615286124063
HOXD3 NFE2L3 0.00860666007155
STAT3 SRF 0.00416705246866
IRF8 ETV6 0.00441971597536
ETV6 DLX5 0.0435174660281
VDR JUNB 0.00694126282633
E2F3 TOPBP1 0.15565104329
EGR2 SMAD7 0.0078546586869
